Site,Site Name,Energy Consumption (kWh),Date
CCC0511,Caliber 0511,2604.82,11/8/2019
CCC0511,Caliber 0511,2431.46,11/9/2019
CCC0511,Caliber 0511,2123.32,11/10/2019
CCC0511,Caliber 0511,2528.74,11/11/2019
CCC0511,Caliber 0511,2411.24,11/12/2019
CCC0511,Caliber 0511,2404.8,11/13/2019
CCC0511,Caliber 0511,2408.69,11/14/2019
CCC0511,Caliber 0511,2393.46,11/15/2019
CCC0511,Caliber 0511,1900.36,11/16/2019
CCC0511,Caliber 0511,1616.45,11/17/2019
CCC0511,Caliber 0511,2473.19,11/18/2019
CCC0511,Caliber 0511,2465.76,11/19/2019
CCC0511,Caliber 0511,2470.96,11/20/2019
CCC0511,Caliber 0511,2554.09,11/21/2019
CCC0511,Caliber 0511,2587.51,11/22/2019
CCC0511,Caliber 0511,2284.73,11/23/2019
CCC0511,Caliber 0511,2070.85,11/24/2019
CCC0511,Caliber 0511,2581.34,11/25/2019
CCC0511,Caliber 0511,2484.54,11/26/2019
CCC0511,Caliber 0511,2420.13,11/27/2019
CCC0511,Caliber 0511,1948.52,11/28/2019
CCC0511,Caliber 0511,2533.16,11/29/2019
CCC0511,Caliber 0511,1783.27,11/30/2019
CCC0511,Caliber 0511,1756.38,12/1/2019
CCC0511,Caliber 0511,2289.96,12/2/2019
CCC0511,Caliber 0511,2384.04,12/3/2019
CCC0511,Caliber 0511,2438.82,12/4/2019
CCC0511,Caliber 0511,2664.94,12/5/2019
CCC0511,Caliber 0511,2548.38,12/6/2019
CCC0511,Caliber 0511,1908.11,12/7/2019
CCC0511,Caliber 0511,1768.61,12/8/2019
CCC0511,Caliber 0511,2476.5,12/9/2019
CCC0511,Caliber 0511,2075.5,12/10/2019
CCC0511,Caliber 0511,2410.65,12/11/2019
CCC0511,Caliber 0511,2441.23,12/12/2019
CCC0511,Caliber 0511,2468.29,12/13/2019
CCC0511,Caliber 0511,2035.91,12/14/2019
CCC0511,Caliber 0511,1987.2,12/15/2019
CCC0511,Caliber 0511,2423.3,12/16/2019
CCC0511,Caliber 0511,2431.2,12/17/2019
CCC0511,Caliber 0511,2478.09,12/18/2019
CCC0511,Caliber 0511,2495.58,12/19/2019
CCC0511,Caliber 0511,2424.11,12/20/2019
CCC0511,Caliber 0511,2229.6,12/21/2019
CCC0511,Caliber 0511,2274.03,12/22/2019
CCC0511,Caliber 0511,2659.19,12/23/2019
CCC0511,Caliber 0511,2239.2,12/24/2019
CCC0511,Caliber 0511,1477.95,12/25/2019
CCC0511,Caliber 0511,2350.52,12/26/2019
CCC0511,Caliber 0511,2365.09,12/27/2019
CCC0511,Caliber 0511,1918.28,12/28/2019
CCC0511,Caliber 0511,2000.42,12/29/2019
CCC0511,Caliber 0511,2484.27,12/30/2019
CCC0511,Caliber 0511,2291.53,12/31/2019
CCC0511,Caliber 0511,1575.61,1/1/2020
CCC0511,Caliber 0511,2338.64,1/2/2020
CCC0511,Caliber 0511,2377.23,1/3/2020
CCC0511,Caliber 0511,2070.99,1/4/2020
CCC0511,Caliber 0511,1889.65,1/5/2020
CCC0511,Caliber 0511,2366.62,1/6/2020
CCC0511,Caliber 0511,2469.13,1/7/2020
CCC0511,Caliber 0511,2459.74,1/8/2020
CCC0511,Caliber 0511,2479.23,1/9/2020
CCC0511,Caliber 0511,2600.05,1/10/2020
CCC0511,Caliber 0511,2167.38,1/11/2020
CCC0511,Caliber 0511,2013.38,1/12/2020
CCC0511,Caliber 0511,2625.03,1/13/2020
CCC0511,Caliber 0511,2594.53,1/14/2020
CCC0511,Caliber 0511,2591.13,1/15/2020
CCC0511,Caliber 0511,2470.71,1/16/2020
CCC0511,Caliber 0511,2502.18,1/17/2020
CCC0511,Caliber 0511,2121.9,1/18/2020
CCC0511,Caliber 0511,2045.78,1/19/2020
CCC0511,Caliber 0511,2413.42,1/20/2020
CCC0511,Caliber 0511,2386.21,1/21/2020
CCC0511,Caliber 0511,2380.02,1/22/2020
CCC0511,Caliber 0511,2365.89,1/23/2020
CCC0511,Caliber 0511,2547.44,1/24/2020
CCC0511,Caliber 0511,2073.06,1/25/2020
CCC0511,Caliber 0511,1978.73,1/26/2020
CCC0511,Caliber 0511,2440.36,1/27/2020
CCC0511,Caliber 0511,2391.31,1/28/2020
CCC0511,Caliber 0511,2316.96,1/29/2020
CCC0511,Caliber 0511,2337.93,1/30/2020
CCC0511,Caliber 0511,2305.28,1/31/2020
